 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3,Label
1706389030.8954265,-477.51042634248734,-413.3636623024941,-330.06861048936844,-265.2037856578827,0
1706389030.8954265,-357.59427416324615,-413.3636623024941,-362.6206997036934,-200.5783144235611,0
1706389030.909305,-381.2902802824974,-416.7146126627922,-369.0832468271255,-174.24941873550415,0
1706389030.909305,-476.5530119538307,-401.39598244428635,-319.53705221414566,-243.18325471878052,0
1706389030.923529,-391.3431313633919,-404.2682256102562,-339.1640471816063,-219.96595579385755,0
1706389030.923529,-353.0465558171272,-416.2359054684639,-371.7161363959312,-159.64884930849075,0
1706389030.9390929,-457.4047241806984,-403.7895184159279,-333.8982680439949,-219.72660219669345,0
1706389030.9390929,-420.5442702174186,-386.31670582294464,-310.68096911907196,-234.08781802654264,0
1706389030.9396155,-319.2976986169815,-397.3269712924957,-352.0891414284706,-154.38307017087936,0
1706389030.9396155,-407.1404687762261,-397.805678486824,-339.40340077877045,-180.233258664608,0
1706389030.9538405,-451.6602378487587,-389.6676561832428,-306.3726043701172,-241.50777953863144,0
1706389030.9538405,-329.58990329504013,-388.94959539175034,-342.2756439447403,-179.2758442759514,0
1706389030.9546068,-363.0994068980217,-405.7043471932411,-355.9187989830971,-164.675274848938,0
1706389030.9546068,-474.6381831765175,-401.87468963861465,-321.4518809914589,-244.61937630176544,0
1706389030.9682884,-376.98191553354263,-398.0450320839882,-342.2756439447403,-220.44466298818588,0
1706389030.9682884,-340.83952236175537,-409.0552975535393,-367.1684180498123,-153.90436297655106,0
1706389030.98441,-467.9362824559212,-418.3900878429413,-342.2756439447403,-230.2581604719162,0
1706389030.98441,-444.00092273950577,-414.0817230939865,-334.13762164115906,-250.3638626337051,0
1706389030.9845269,-332.46214646101,-421.5016846060753,-377.6999763250351,-179.03649067878723,0
1706389030.9845269,-419.10814863443375,-422.69845259189606,-358.7910421490669,-200.81766802072525,0
1706389030.9981425,-462.90985691547394,-404.98628640174866,-319.53705221414566,-255.15093457698825,0
1706389030.9981425,-335.3343896269798,-393.01860654354095,-343.9511191248894,-177.83972269296646,0
1706389031.013804,-368.3651860356331,-405.46499359607697,-357.354920566082,-167.786871612072,0
1706389031.013804,-477.031719148159,-394.2153745293617,-310.68096911907196,-241.50777953863144,0
1706389031.0145016,-371.23742920160294,-385.359291434288,-320.2551130056381,-207.2802151441574,0
1706389031.0145016,-319.05834501981735,-390.6250705718994,-350.41366624832153,-152.94694858789444,0
1706389031.0281465,-438.25643640756607,-390.1463633775711,-319.53705221414566,-219.2478950023651,0
1706389031.0281465,-405.7043471932411,-378.89674431085587,-307.09066516160965,-229.06139248609543,0
1706389031.0442257,-313.0745050907135,-396.3695569038391,-365.014235675335,-163.71786046028137,0
1706389031.0442257,-403.0714576244354,-400.9172752499581,-348.73819106817245,-198.902839243412,0
1706389031.058787,-455.01118820905685,-397.805678486824,-318.10093063116074,-255.62964177131653,0
1706389031.058787,-330.54731768369675,-389.42830258607864,-337.72792559862137,-178.31842988729477,0
1706389031.05952,-370.9980756044388,-412.1668943166733,-366.45035725831985,-167.06881082057953,0
1706389031.05952,-464.585332095623,-394.4547281265259,-316.42545545101166,-242.7045475244522,0
1706389031.074182,-371.9554899930954,-389.1889489889145,-337.4885720014572,-221.8807845711708,0
1706389031.074182,-341.796936750412,-410.0127119421959,-369.801307618618,-165.39333564043045,0
1706389031.0745642,-453.57506662607193,-403.7895184159279,-340.1214615702629,-230.2581604719162,0
1706389031.0745642,-427.96423172950745,-401.6353360414505,-331.50473207235336,-249.40644824504852,0
1706389031.0885272,-322.8880025744438,-406.1830543875694,-367.40777164697647,-167.786871612072,0
1706389031.0885272,-411.20947992801666,-404.98628640174866,-350.1743126511574,-192.91899931430817,0
1706389031.1038268,-465.7821000814438,-399.9598608613014,-320.73382019996643,-257.3051169514656,0
1706389031.1038268,-341.55758315324783,-400.4385680556298,-354.243323802948,-192.2009385228157,0
1706389031.1048276,-363.0994068980217,-403.0714576244354,-357.354920566082,-167.54751801490784,0
1706389031.1048276,-462.4311497211456,-390.6250705718994,-320.4944666028023,-247.73097306489944,0
1706389031.1180646,-360.70587092638016,-383.9231698513031,-333.18020725250244,-219.2478950023651,0
1706389031.1180646,-323.12735617160797,-393.01860654354095,-360.9452245235443,-158.45208132266998,0
1706389031.1344736,-449.027348279953,-400.1992144584656,-332.9408536553383,-219.72660219669345,0
1706389031.1344736,-414.5604302883148,-378.4180371165275,-311.3990299105644,-227.6252709031105,0
1706389031.1351757,-313.31385868787766,-391.3431313633919,-359.5091029405594,-160.12755650281906,0
1706389031.1351757,-414.799783885479,-403.7895184159279,-347.78077667951584,-190.7648169398308,0
1706389031.1480415,-449.027348279953,-393.49731373786926,-311.6383835077286,-248.20968025922775,0
1706389031.1480415,-337.72792559862137,-399.9598608613014,-346.3446550965309,-180.9513194561005,0
1706389031.163844,-372.4341971874237,-409.29465115070343,-364.0568212866783,-170.65911477804184,0
1706389031.163844,-466.02145367860794,-389.1889489889145,-322.8880025744438,-248.9277410507202,0
1706389031.164523,-372.1948435902595,-396.60891050100327,-337.9672791957855,-215.6575910449028,0
1706389031.164523,-331.2653784751892,-402.1140432357788,-357.8336277604103,-151.51082700490952,0
1706389031.178464,-455.4898954033851,-403.7895184159279,-342.51499754190445,-230.01880687475204,0
1706389031.178464,-428.2035853266716,-396.3695569038391,-323.3667097687721,-240.31101155281067,0
1706389031.1939964,-333.65891444683075,-415.51784467697144,-375.5457939505577,-170.41976118087769,0
1706389031.1939964,-427.96423172950745,-419.8262094259262,-358.07298135757446,-202.014436006546,0
1706389031.1947072,-450.7028234601021,-394.9334353208542,-316.90416264533997,-258.02317774295807,0
1706389031.1947072,-341.3182295560837,-407.8585295677185,-359.26974934339523,-196.26994967460632,0
1706389031.2080832,-377.2212691307068,-411.4488335251808,-366.2110036611557,-172.57394355535507,0
1706389031.2080832,-482.53685188293457,-407.8585295677185,-334.8556824326515,-257.06576335430145,0
1706389031.2238228,-389.6676561832428,-409.5340047478676,-352.32849502563477,-231.2155748605728,0
1706389031.2238228,-346.10530149936676,-413.6030158996582,-374.1096723675728,-168.50493240356445,0
1706389031.2245383,-459.3195529580116,-403.0714576244354,-330.7866712808609,-218.0511270165443,0
1706389031.2245383,-427.96423172950745,-400.9172752499581,-323.6060633659363,-237.91747558116913,0
1706389031.2384508,-320.01575940847397,-406.9011151790619,-365.97165006399155,-167.30816441774368,0
1706389031.2384508,-413.1243087053299,-406.66176158189774,-345.3872407078743,-192.679645717144,0
1706389031.2538753,-460.27696734666824,-395.8908497095108,-317.6222234368324,-249.40644824504852,0
1706389031.2538753,-337.72792559862137,-402.83210402727127,-354.48267740011215,-185.25968420505524,0
1706389031.2545545,-371.23742920160294,-406.1830543875694,-360.9452245235443,-169.46234679222107,0
1706389031.2545545,-469.13305044174194,-396.13020330667496,-320.2551130056381,-250.3638626337051,0
1706389031.268247,-387.7528274059296,-415.0391374826431,-355.2007381916046,-235.04523241519928,0
1706389031.268247,-374.1096723675728,-440.41061878204346,-393.9760209321976,-185.25968420505524,0
1706389031.2839696,-482.05814468860626,-430.59712129831314,-356.3975061774254,-247.73097306489944,0
1706389031.2839696,-444.9583371281624,-419.8262094259262,-349.21689826250076,-264.7250784635544,0
1706389031.2845376,-350.41366624832153,-430.357767701149,-388.2315346002579,-193.39770650863647,0
1706389031.2845376,-449.74540907144547,-441.6073867678642,-376.98191553354263,-230.2581604719162,0
1706389031.2983463,-486.6058630347252,-428.6822925209999,-345.14788711071014,-280.52241587638855,0
1706389031.2983463,-368.6045396327973,-430.357767701149,-380.3328658938408,-208.23762953281403,0
1706389031.3137932,-406.1830543875694,-443.2828619480133,-387.9921810030937,-199.14219284057617,0
1706389031.3137932,-511.0199299454689,-432.2725964784622,-345.14788711071014,-274.29922235012054,0
1706389031.3146496,-405.2256399989128,-424.37392777204514,-354.96138459444046,-230.2581604719162,0
1706389031.3146496,-369.56195402145386,-433.70871806144714,-384.16252344846725,-168.7442860007286,0
1706389031.3281555,-475.83495116233826,-417.43267345428467,-347.0627158880234,-236.4813539981842,0
1706389031.3281555,-439.4532043933869,-413.6030158996582,-341.796936750412,-262.33154249191284,0
1706389031.3437996,-345.14788711071014,-429.6397069096565,-381.2902802824974,-185.02033060789108,0
1706389031.3437996,-439.692557990551,-436.1022540330887,-368.3651860356331,-221.64143097400665,0
1706389031.3445306,-488.7600454092026,-427.48552453517914,-342.2756439447403,-281.240476667881,0
1706389031.3445306,-369.801307618618,-432.5119500756264,-375.3064403533935,-203.92926478385925,0
1706389031.3582523,-405.7043471932411,-440.1712651848793,-389.42830258607864,-197.22736406326297,0
1706389031.3582523,-500.0096644759178,-427.246170938015,-344.4298263192177,-271.66633278131485,0
1706389031.3739617,-404.7469328045845,-433.469364464283,-361.9026389122009,-240.5503651499748,0
1706389031.3739617,-380.8115730881691,-451.42088425159454,-404.028872013092,-194.11576730012897,0
1706389031.3748095,-488.7600454092026,-436.580961227417,-365.7322964668274,-263.28895688056946,0
1706389031.3748095,-455.01118820905685,-434.4267788529396,-357.11556696891785,-275.9746975302696,0
1706389031.3882132,-365.97165006399155,-445.6763979196549,-402.5927504301071,-202.25378960371015,0
1706389031.3882132,-463.86727130413055,-452.138945043087,-384.8805842399597,-235.5239396095276,0
